#,Dataslice name,Dataslice is relevant to,Columns in this data slice,Field type,Datatype in python,Column description
4,undata_fish,Fishing,fish_main_coastal,esriFieldTypeSmallInteger,integer,"Question asked: 'What type of fishing activity does your household generally practice?'. 'Yes' if 'Near coastal, delta, lagoon fishing'."
4,undata_fish,Fishing,fish_main_offshore_sea,esriFieldTypeSmallInteger,integer,Question asked: 'What type of fishing activity does your household generally practice?'. 'Yes' if 'Offshore sea fishing'.
4,undata_fish,Fishing,fish_main_freshwater,esriFieldTypeSmallInteger,integer,"Question asked: 'What type of fishing activity does your household generally practice?'. 'Yes' if 'Freshwater fishing (in lakes, reservoirs, ponds, rivers, or wetlands)'"
4,undata_fish,Fishing,fish_main_aquaculture,esriFieldTypeSmallInteger,integer,Question asked: 'What type of fishing activity does your household generally practice?'. 'Yes' if 'Aquaculture'.
4,undata_fish,Fishing,fish_main_dk,esriFieldTypeSmallInteger,integer,Question asked: 'What type of fishing activity does your household generally practice?'. 'Yes' if 'DON'T KNOW'.
4,undata_fish,Fishing,fish_main_ref,esriFieldTypeSmallInteger,integer,Question asked: 'What type of fishing activity does your household generally practice?'. 'Yes' if 'REFUSED'.
4,undata_fish,Fishing,fish_change,esriFieldTypeSmallInteger,integer,Question asked: 'How does your fish catch (capture fishery) in the last 3 months (or last harvest) compare to the same period (harvest) last year?'
4,undata_fish,Fishing,fish_proddif,esriFieldTypeSmallInteger,integer,Question asked: 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?'
4,undata_fish,Fishing,fish_proddif_find_fish,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Fish is more difficult to find than in previous years in the same season (fishing)'."
4,undata_fish,Fishing,fish_proddif_pests,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Fish pests and diseases (aquaculture)'."
4,undata_fish,Fishing,fish_proddif_access_area,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Access to fishing or aquaculture area (e.g. due to weather or security)'."
4,undata_fish,Fishing,fish_proddif_fuel,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Access to fuel (prices higher or not available)'."
4,undata_fish,Fishing,fish_proddif_input_access,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Access to other fishing or culture inputs (prices higher or not available)'."
4,undata_fish,Fishing,fish_proddif_labour,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Access to labour or crew labour (prices higher or not available)'."
4,undata_fish,Fishing,fish_proddif_infrastructure,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Damage or destruction of infrastructure (ponds, cages, ports, landing sites)'."
4,undata_fish,Fishing,fish_proddif_damage_equip,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Damage or destruction of boats or gears'."
4,undata_fish,Fishing,fish_proddif_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'Other'."
4,undata_fish,Fishing,fish_proddif_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'DON'T KNOW'."
4,undata_fish,Fishing,fish_proddif_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_proddif' question 'Has your household faced any significant difficulty with fish catch and/or aquaculture production in the last 3 months?', the respondent is required to select which difficulties the household faced with  fish catch and/or aquaculture production in the last 3 months. 'Yes' if 'REFUSED'."
4,undata_fish,Fishing,fish_inputdif_bait_feed,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Feed or bait'.
4,undata_fish,Fishing,fish_inputdif_fingerling,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Fingerlings'.
4,undata_fish,Fishing,fish_inputdif_gear,esriFieldTypeSmallInteger,integer,"Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Fishing gear [e.g. rods, hooks, nets]'."
4,undata_fish,Fishing,fish_inputdif_ice,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Ice'.
4,undata_fish,Fishing,fish_inputdif_fuel,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Fuel'.
4,undata_fish,Fishing,fish_inputdif_repairs,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Equipment repairs [including boats] or spare parts'.
4,undata_fish,Fishing,fish_inputdif_labour,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Labour'.
4,undata_fish,Fishing,fish_inputdif_other,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'Other'.
4,undata_fish,Fishing,fish_inputdif_dk,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'DON'T KNOW'.
4,undata_fish,Fishing,fish_inputdif_ref,esriFieldTypeSmallInteger,integer,Question asked: 'Which fishing (culture) input material has your household had difficulties accessing in the last 3 months?'. Yes if 'REFUSED'.
4,undata_fish,Fishing,fish_salesmain,esriFieldTypeSmallInteger,integer,Question asked: 'What was the main fish product sold by your household in the last 3 months?'
4,undata_fish,Fishing,fish_salesdif,esriFieldTypeSmallInteger,integer,Question asked: Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months? [fish_salesmain] will be replaced by the response of the households to the question 'What was the main fish product sold by your household in the last 3 months?'.
4,undata_fish,Fishing,fish_saledif_marketing_cost,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'High transportation or other marketing costs'."
4,undata_fish,Fishing,fish_saledif_damage_losses,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Deterioration and losses due to storage difficulties or delays or inability to physically access markets'."
4,undata_fish,Fishing,fish_saledif_low_demand,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Lack of demand from usual buyers/traders'."
4,undata_fish,Fishing,fish_saledif_pay_delay,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Payment delays from traders/buyers'."
4,undata_fish,Fishing,fish_saledif_low_prices,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Low selling prices (e.g. compared to input prices / inflation)'."
4,undata_fish,Fishing,fish_saledif_processing,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Difficulties processing product (lack of access to processing inputs / equipment / etc)'."
4,undata_fish,Fishing,fish_saledif_competition,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Market flooded with product'."
4,undata_fish,Fishing,fish_saledif_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'Other'."
4,undata_fish,Fishing,fish_saledif_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'DON'T KNOW'."
4,undata_fish,Fishing,fish_saledif_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'fish_salesdif' question 'Has your household faced any significant difficulty marketing / selling your [fish_salesmain] in the last 3 months?', the respondent is required to select which difficulties the household faced with marketing / selling main fish product sold in the last 3 months. 'Yes' if 'REFUSED'."
4,undata_fish,Fishing,fish_salesprice,esriFieldTypeSmallInteger,integer,"Question asked: 'How does the current price of your household's [fish_salesmain] sold compare to the average price in the same period/harvest of #reference year#?'. #reference year# will be replaced with the country specific information (e.g. a normal year, last year, etc...). [fish_salesmain] will be replaced with the main fish product sold of the respondent"
5,undata_need,Need for assistance,,,,
5,undata_need,Need for assistance,need,esriFieldTypeSmallInteger,integer,"Question asked: 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?'."
5,undata_need,Need for assistance,need_food,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Food'."
5,undata_need,Need for assistance,need_cash,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Cash'."
5,undata_need,Need for assistance,need_vouchers_fair,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Vouchers or input trade fairs'."
5,undata_need,Need for assistance,need_crop_inputs,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Inputs for crop and/or vegetable production (e.g. seeds, fertilizer, tools)'."
5,undata_need,Need for assistance,need_crop_infrastructure,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Infrastructure for crop and/or vegetable production (e.g. irrigation, canal rehabilitation, pumps)'."
5,undata_need,Need for assistance,need_crop_knowledge,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Training & technical knowledge/advice for crop production'."
5,undata_need,Need for assistance,need_ls_feed,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Livestock feed (fodder or supplementary feed)'."
5,undata_need,Need for assistance,need_ls_vet_service,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Veterinary services (e.g. vaccination, dips, deworming)'."
5,undata_need,Need for assistance,need_ls_infrastructure,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Infrastructure for livestock (e.g. water points, transhumance corridors, shelter, health points)'."
5,undata_need,Need for assistance,need_ls_knowledge,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Training & technical knowledge/advice for livestock production'."
5,undata_need,Need for assistance,need_fish_inputs,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Inputs for fishing or aquaculture production'."
5,undata_need,Need for assistance,need_fish_infrastructure,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Infrastructure for fisheries or aquaculture production (e.g. rehabilitation of port; repair of ponds)'."
5,undata_need,Need for assistance,need_fish_knowledge,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Training & technical knowledge/advice for fisheries or aquaculture production'."
5,undata_need,Need for assistance,need_env_infra_rehab,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Environmental or infrastructure rehabilitation (community-wide)'."
5,undata_need,Need for assistance,need_cold_storage,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Cold storage'."
5,undata_need,Need for assistance,need_marketing_supp,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Marketing or sales support (e.g. public procurement)'."
5,undata_need,Need for assistance,need_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'Other (specify)'."
5,undata_need,Need for assistance,need_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'DON'T KNOW'."
5,undata_need,Need for assistance,need_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need' question 'Does your household need assistance for agricultural activities (including crop, livestock and fisheries/aquaculture activities) over the next 3 to 6 months?', the respondent is required to select the household need for agricultural activities. 'Yes' if 'REFUSED'."
5,undata_need,Need for assistance,need_received_food,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Food'."
5,undata_need,Need for assistance,need_received_cash,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Cash'."
5,undata_need,Need for assistance,need_received_vouchers_fair,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Vouchers/input trade fairs'."
5,undata_need,Need for assistance,need_received_crop_assist,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Crop and/or vegetable production assistance'."
5,undata_need,Need for assistance,need_received_ls_assist,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Livestock assistance'."
5,undata_need,Need for assistance,need_received_fish_assist,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Fisheries and/or aquaculture assistance'."
5,undata_need,Need for assistance,need_received_rehabilitation,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Environmental or infrastructure rehabilitation (community-wide)'."
5,undata_need,Need for assistance,need_received_sales_support,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Marketing or sales support (e.g. public procurement)'."
5,undata_need,Need for assistance,need_received_other,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'Other (specify)'."
5,undata_need,Need for assistance,need_received_none,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'No assistance received'."
5,undata_need,Need for assistance,need_received_dk,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'DON'T KNOW '."
5,undata_need,Need for assistance,need_received_ref,esriFieldTypeSmallInteger,integer,"Following a 'Yes' answer to the 'need_received' question 'Has your household received any assistance in the last 3 months, and if so, which kind?', the respondent is required to select the assistance received in last 3 months. 'Yes' if 'REFUSED'."
6,undata_shock,"Shocks, disasters, crisis faced",,,,
6,undata_shock,"Shocks, disasters, crisis faced",shock_noshock,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'No shock' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_sicknessordeathofhh,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Sickness or accident or death of household member(s) (sickness of breadwinner / unusually high medical expenditure / funeral expenses / death of breadwinner)' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_lostemplorwork,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Lost employment or working opportunities (not due to illness/accident)' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_otherintrahhshock,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Other intra-household shock' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_higherfoodprices,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Unusually high food prices' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_higherfuelprices,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Unusually high fuel prices or transport prices' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_mvtrestrict,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Population movement restrictions (e.g. due to epidemic or infrastructure damage)' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_othereconomicshock,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Other economic shock' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_pestoutbreak,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Pest outbreak' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_plantdisease,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Plant disease' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_animaldisease,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Animal disease (affecting many animals) or death' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_napasture,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Lack of physical access to pasture' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_othercropandlivests,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Other crop and livestock shock' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_coldtemporhail,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Cold temperatures or hail' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_flood,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Flood / riverbank erosion' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_hurricane,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Hurricane / cyclone / tornado' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_drought,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Drought / heat stress' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_earthquake,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Earthquake' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_landslides,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Landslides' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_firenatural,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Fire from natural disaster' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_othernathazard,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Other natural hazard' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_violenceinsecconf,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Violence and insecurity / conflict' selected."
6,undata_shock,"Shocks, disasters, crisis faced",shock_theftofprodassets,esriFieldTypeSmallInteger,integer,"Question asked: 'Has your household or community faced any particular disaster or crisis affecting your household's ability to raise an income and/or to produce food for self consumption in the last 3 months, and if so, which one(s)?' 'Yes' if 'Theft of production assets (land / livestock / tools / etc)' selected."
